cross_validation; iteration; train_size; num_stages; alpha; overage_cost; eoh_underage; method; radius; train_time; train_mean; train_std; train_valid; test_mean; test_std; test_valid
AV;0; 10; 5; 0.500000;0.040000;2.000000; AFF; 0.000000; 0.021594; 40.565546;1424.912489;1.000000; 54.869146;-nan;0.954500
AV;0; 10; 5; 0.500000;0.040000;2.000000; AFF; 0.001000; 0.092083; 40.566365;1424.912173;1.000000; 54.868516;-nan;0.954500
AV;0; 10; 5; 0.500000;0.040000;2.000000; AFF; 0.010000; 0.090646; 40.573739;1424.599698;1.000000; 54.862852;-nan;0.954700
AV;0; 10; 5; 0.500000;0.040000;2.000000; AFF; 0.100000; 0.095776; 40.647451;1421.529704;1.000000; 54.806677;-nan;0.955600
AV;0; 10; 5; 0.500000;0.040000;2.000000; AFF; 0.316200; 0.078513; 39.974087;973.320245;1.000000; 51.858548;-nan;0.962100
AV;0; 10; 5; 0.500000;0.040000;2.000000; AFF; 1.000000; 0.090897; 40.552719;986.888900;1.000000; 50.875118;403.120326;0.974600
AV;0; 10; 5; 0.500000;0.040000;2.000000; AFF; 1.778300; 0.103574; 41.020431;1039.436722;1.000000; 51.045713;324.502094;0.975400
AV;0; 10; 5; 0.500000;0.040000;2.000000; AFF; 3.162300; 0.081222; 43.592379;945.585692;1.000000; 49.483424;240.245139;1.000000
AV;0; 10; 5; 0.500000;0.040000;2.000000; AFF; 5.623400; 0.098556; 45.079554;1114.734004;1.000000; 50.775628;302.215135;1.000000
AV;0; 10; 5; 0.500000;0.040000;2.000000; AFF; 10.000000; 0.105294; 45.024228;347.504964;1.000000; 47.947111;-nan;1.000000
AV;0; 10; 5; 0.500000;0.040000;2.000000; AFF; 17.783000; 0.061660; 47.576181;191.755313;1.000000; 49.558044;36.821583;1.000000
AV;0; 10; 5; 0.500000;0.040000;2.000000; AFF; 31.623000; 0.073272; 51.729104;293.990306;1.000000; 54.001454;143.635776;1.000000
AV;0; 10; 5; 0.500000;0.040000;2.000000; LIFTE; 0.000000; 0.128245; 27.930428;1210.858043;1.000000; 172.424579;-nan;0.533600
AV;0; 10; 5; 0.500000;0.040000;2.000000; LIFTE; 0.001000; 0.780356; 27.931915;1210.857589;1.000000; 60.932424;-nan;0.832500
AV;0; 10; 5; 0.500000;0.040000;2.000000; LIFTE; 0.010000; 0.794146; 27.945311;1175.213640;1.000000; 60.869137;-nan;0.832800
AV;0; 10; 5; 0.500000;0.040000;2.000000; LIFTE; 0.100000; 0.795957; 28.080249;1066.334516;1.000000; 60.267842;-nan;0.836400
AV;0; 10; 5; 0.500000;0.040000;2.000000; LIFTE; 0.316200; 0.838013; 28.390928;1272.242430;1.000000; 60.819252;-nan;0.838500
AV;0; 10; 5; 0.500000;0.040000;2.000000; LIFTE; 1.000000; 0.770610; 29.461568;1319.459965;1.000000; 51.312537;-nan;0.887700
AV;0; 10; 5; 0.500000;0.040000;2.000000; LIFTE; 1.778300; 0.609074; 31.585609;229.713082;1.000000; 47.860154;-nan;0.935300
AV;0; 10; 5; 0.500000;0.040000;2.000000; LIFTE; 3.162300; 0.791256; 33.241004;268.112663;1.000000; 47.061956;-nan;0.953100
AV;0; 10; 5; 0.500000;0.040000;2.000000; LIFTE; 5.623400; 0.733021; 35.244297;314.781353;1.000000; 41.310839;-nan;0.980100
AV;0; 10; 5; 0.500000;0.040000;2.000000; LIFTE; 10.000000; 0.581801; 36.915208;627.411189;1.000000; 40.068159;-nan;0.997000
AV;0; 10; 5; 0.500000;0.040000;2.000000; LIFTE; 17.783000; 0.709885; 39.500984;382.558754;1.000000; 40.563554;272.837707;1.000000
AV;0; 10; 5; 0.500000;0.040000;2.000000; LIFTE; 31.623000; 0.868811; 43.041956;50.048976;1.000000; 45.577856;233.191347;1.000000
AV;2; 10; 5; 0.500000;0.040000;2.000000; AFF; 0.000000; 0.016549; 31.952855;4000.804807;1.000000; 67.871542;-nan;0.874300
AV;2; 10; 5; 0.500000;0.040000;2.000000; AFF; 0.001000; 0.083407; 31.954003;4000.804307;1.000000; 67.869557;-nan;0.874300
AV;2; 10; 5; 0.500000;0.040000;2.000000; AFF; 0.010000; 0.067925; 31.964340;3999.927174;1.000000; 67.851687;-nan;0.874300
AV;2; 10; 5; 0.500000;0.040000;2.000000; AFF; 0.100000; 0.080006; 32.067678;3991.396021;1.000000; 67.674628;-nan;0.875400
AV;2; 10; 5; 0.500000;0.040000;2.000000; AFF; 0.316200; 0.079019; 32.276680;2424.852160;1.000000; 59.496440;-nan;0.893100
AV;2; 10; 5; 0.500000;0.040000;2.000000; AFF; 1.000000; 0.101550; 32.974875;960.816996;1.000000; 47.884990;60.168721;0.918300
AV;2; 10; 5; 0.500000;0.040000;2.000000; AFF; 1.778300; 0.107979; 33.642259;875.288295;1.000000; 47.461641;227.013328;0.925800
AV;2; 10; 5; 0.500000;0.040000;2.000000; AFF; 3.162300; 0.088632; 35.754231;1103.322029;1.000000; 44.988881;-nan;0.959700
AV;2; 10; 5; 0.500000;0.040000;2.000000; AFF; 5.623400; 0.082859; 37.525816;1043.280595;1.000000; 44.479885;-nan;0.977500
AV;2; 10; 5; 0.500000;0.040000;2.000000; AFF; 10.000000; 0.100403; 40.799098;945.169033;1.000000; 44.690274;304.821334;0.994400
AV;2; 10; 5; 0.500000;0.040000;2.000000; AFF; 17.783000; 0.083064; 43.616005;587.173910;1.000000; 47.091152;159.815999;0.993500
AV;2; 10; 5; 0.500000;0.040000;2.000000; AFF; 31.623000; 0.056115; 49.599796;624.500761;1.000000; 51.792836;350.931384;0.999600
AV;2; 10; 5; 0.500000;0.040000;2.000000; LIFTE; 0.000000; 0.111283; 25.184339;776.123057;1.000000; 213.312450;-nan;0.443000
AV;2; 10; 5; 0.500000;0.040000;2.000000; LIFTE; 0.001000; 0.732403; 25.220537;775.139084;1.000000; 74.240690;-nan;0.640000
AV;2; 10; 5; 0.500000;0.040000;2.000000; LIFTE; 0.010000; 0.873423; 25.264110;804.160059;1.000000; 76.327427;-nan;0.644200
AV;2; 10; 5; 0.500000;0.040000;2.000000; LIFTE; 0.100000; 0.882261; 25.421414;831.106311;1.000000; 68.509098;-nan;0.660200
AV;2; 10; 5; 0.500000;0.040000;2.000000; LIFTE; 0.316200; 0.758196; 25.818617;881.274134;1.000000; 71.468643;-nan;0.651900
AV;2; 10; 5; 0.500000;0.040000;2.000000; LIFTE; 1.000000; 0.731242; 27.095257;1151.889752;1.000000; 57.777872;-nan;0.724000
AV;2; 10; 5; 0.500000;0.040000;2.000000; LIFTE; 1.778300; 0.564091; 27.901588;1234.478149;1.000000; 56.149979;-nan;0.750400
AV;2; 10; 5; 0.500000;0.040000;2.000000; LIFTE; 3.162300; 0.607188; 28.779733;1161.227798;1.000000; 49.569386;-nan;0.806500
AV;2; 10; 5; 0.500000;0.040000;2.000000; LIFTE; 5.623400; 0.698221; 29.996118;397.010579;1.000000; 48.155411;-nan;0.817000
AV;2; 10; 5; 0.500000;0.040000;2.000000; LIFTE; 10.000000; 0.817242; 30.877637;154.430891;1.000000; 43.935294;-nan;0.873600
AV;2; 10; 5; 0.500000;0.040000;2.000000; LIFTE; 17.783000; 0.833954; 33.218567;199.934239;1.000000; 40.762970;-nan;0.955400
AV;2; 10; 5; 0.500000;0.040000;2.000000; LIFTE; 31.623000; 0.994889; 35.966998;111.401526;1.000000; 41.744499;-nan;0.986300
AV;2; 10; 5; 0.000000;0.040000;2.000000; AFF; 0.000000; 0.018348; 29.310488;6467.741986;1.000000; 42.463736;-nan;0.926100
AV;2; 10; 5; 0.000000;0.040000;2.000000; AFF; 0.001000; 0.075738; 29.311042;6467.741754;1.000000; 42.462249;-nan;0.926100
AV;2; 10; 5; 0.000000;0.040000;2.000000; AFF; 0.010000; 0.061351; 29.316028;6467.337675;1.000000; 42.448880;-nan;0.926100
AV;2; 10; 5; 0.000000;0.040000;2.000000; AFF; 0.100000; 0.065950; 29.365888;6479.403823;1.000000; 42.316145;-nan;0.927000
AV;2; 10; 5; 0.000000;0.040000;2.000000; AFF; 0.316200; 0.057833; 29.485663;6586.136789;1.000000; 42.003131;-nan;0.929700
AV;2; 10; 5; 0.000000;0.040000;2.000000; AFF; 1.000000; 0.083503; 29.905999;6664.067107;1.000000; 41.072612;-nan;0.935300
AV;2; 10; 5; 0.000000;0.040000;2.000000; AFF; 1.778300; 0.075190; 30.393215;6697.684398;1.000000; 40.115066;-nan;0.944100
AV;2; 10; 5; 0.000000;0.040000;2.000000; AFF; 3.162300; 0.078283; 31.259599;6777.455673;1.000000; 38.700026;280.000229;0.956300
AV;2; 10; 5; 0.000000;0.040000;2.000000; AFF; 5.623400; 0.078977; 33.031959;6564.591175;1.000000; 37.386175;-nan;0.972200
AV;2; 10; 5; 0.000000;0.040000;2.000000; AFF; 10.000000; 0.092262; 32.526699;2041.210793;1.000000; 41.423826;-nan;0.975000
AV;2; 10; 5; 0.000000;0.040000;2.000000; AFF; 17.783000; 0.081052; 31.840299;2099.745389;1.000000; 35.953900;-nan;0.989300
AV;2; 10; 5; 0.000000;0.040000;2.000000; AFF; 31.623000; 0.082283; 36.933446;1984.513190;1.000000; 35.949062;415.708693;1.000000
AV;2; 10; 5; 0.000000;0.040000;2.000000; LIFTE; 0.000000; 0.102200; 24.492262;152.360756;1.000000; 195.311214;-nan;0.319500
AV;2; 10; 5; 0.000000;0.040000;2.000000; LIFTE; 0.001000; 0.902055; 24.493373;152.360428;1.000000; 180.039689;-nan;0.443500
AV;2; 10; 5; 0.000000;0.040000;2.000000; LIFTE; 0.010000; 0.921114; 24.498385;229.532351;1.000000; 103.199783;-nan;0.595500
AV;2; 10; 5; 0.000000;0.040000;2.000000; LIFTE; 0.100000; 0.714215; 24.542404;273.020329;1.000000; 109.461803;-nan;0.587000
AV;2; 10; 5; 0.000000;0.040000;2.000000; LIFTE; 0.316200; 0.695187; 24.682387;342.624430;1.000000; 93.559415;-nan;0.641000
AV;2; 10; 5; 0.000000;0.040000;2.000000; LIFTE; 1.000000; 0.675863; 25.369390;423.692695;1.000000; 58.636883;-nan;0.805800
AV;2; 10; 5; 0.000000;0.040000;2.000000; LIFTE; 1.778300; 0.547123; 25.638444;417.642670;1.000000; 55.041995;-nan;0.837000
AV;2; 10; 5; 0.000000;0.040000;2.000000; LIFTE; 3.162300; 0.700079; 26.223102;611.258538;1.000000; 52.702893;-nan;0.848800
AV;2; 10; 5; 0.000000;0.040000;2.000000; LIFTE; 5.623400; 0.794007; 27.342342;1097.581113;1.000000; 47.008766;-nan;0.888300
AV;2; 10; 5; 0.000000;0.040000;2.000000; LIFTE; 10.000000; 0.919515; 28.927736;1956.245358;1.000000; 37.436290;209.967215;0.948700
AV;2; 10; 5; 0.000000;0.040000;2.000000; LIFTE; 17.783000; 1.146147; 33.913619;600.548250;1.000000; 36.485510;-nan;0.990700
AV;2; 10; 5; 0.000000;0.040000;2.000000; LIFTE; 31.623000; 1.515796; 38.601038;205.700754;1.000000; 37.812867;-nan;1.000000
AV;1; 10; 5; 0.500000;0.040000;2.000000; AFF; 0.000000; 0.018877; 31.427882;923.604190;1.000000; 51.691208;-nan;0.961800
AV;1; 10; 5; 0.500000;0.040000;2.000000; AFF; 0.001000; 0.077910; 31.428489;923.603919;1.000000; 51.690976;-nan;0.961800
AV;1; 10; 5; 0.500000;0.040000;2.000000; AFF; 0.010000; 0.067819; 31.433951;923.602025;1.000000; 51.688895;-nan;0.961900
AV;1; 10; 5; 0.500000;0.040000;2.000000; AFF; 0.100000; 0.061639; 31.488569;921.630132;1.000000; 51.668295;-nan;0.962100
AV;1; 10; 5; 0.500000;0.040000;2.000000; AFF; 0.316200; 0.063787; 31.619684;916.735731;1.000000; 51.595062;-nan;0.963500
AV;1; 10; 5; 0.500000;0.040000;2.000000; AFF; 1.000000; 0.090410; 32.033908;936.003686;1.000000; 51.460020;-nan;0.966800
AV;1; 10; 5; 0.500000;0.040000;2.000000; AFF; 1.778300; 0.060601; 32.505375;920.714071;1.000000; 51.331345;-nan;0.968700
AV;1; 10; 5; 0.500000;0.040000;2.000000; AFF; 3.162300; 0.073717; 33.343756;893.307506;1.000000; 51.181396;-nan;0.972600
AV;1; 10; 5; 0.500000;0.040000;2.000000; AFF; 5.623400; 0.071867; 31.383326;1527.080286;1.000000; 48.274097;-nan;0.972100
AV;1; 10; 5; 0.500000;0.040000;2.000000; AFF; 10.000000; 0.098221; 33.328308;1084.123471;1.000000; 48.017652;-nan;0.980900
AV;1; 10; 5; 0.500000;0.040000;2.000000; AFF; 17.783000; 0.068795; 36.838990;997.051804;1.000000; 48.313694;-nan;0.994200
AV;1; 10; 5; 0.500000;0.040000;2.000000; AFF; 31.623000; 0.077101; 38.511042;25.961510;1.000000; 47.200878;-nan;0.999700
AV;1; 10; 5; 0.500000;0.040000;2.000000; LIFTE; 0.000000; 0.118729; 25.862300;2648.467293;1.000000; 120.397874;-nan;0.690100
AV;1; 10; 5; 0.500000;0.040000;2.000000; LIFTE; 0.001000; 0.718529; 25.863287;2648.151129;1.000000; 66.262612;-nan;0.846900
AV;1; 10; 5; 0.500000;0.040000;2.000000; LIFTE; 0.010000; 0.516924; 25.872938;2647.242679;1.000000; 65.871546;-nan;0.843300
AV;1; 10; 5; 0.500000;0.040000;2.000000; LIFTE; 0.100000; 0.736151; 25.949633;2585.256003;1.000000; 65.404542;-nan;0.845000
AV;1; 10; 5; 0.500000;0.040000;2.000000; LIFTE; 0.316200; 0.803899; 26.229070;2094.499988;1.000000; 63.877157;-nan;0.864600
AV;1; 10; 5; 0.500000;0.040000;2.000000; LIFTE; 1.000000; 0.840773; 26.630511;2023.694839;1.000000; 61.556190;-nan;0.879500
