uncertainty_type;budget;uncertainty;num_stages;alpha;overage_cost;uncertainty_scale;end_of_horizon_scale;iteration;test_name;runtime;objective;avg_samples
OTHER;;MULTI_AVERAGE;5;0.000000;0.040000;scale_sqrtT;scale_10;0;AFF;0.00371099;62.6462;nan
OTHER;;MULTI_AVERAGE;5;0.250000;0.040000;scale_sqrtT;scale_10;0;AFF;0.004282;71.6172;nan
OTHER;;MULTI_AVERAGE;5;0.500000;0.040000;scale_sqrtT;scale_10;0;AFF;0.0045619;81.2836;nan
OTHER;;MULTI_AVERAGE;5;0.000000;0.040000;scale_sqrtT;scale_10;0;GLIFT1;0.00731802;62.6462;nan
OTHER;;MULTI_AVERAGE;5;0.250000;0.040000;scale_sqrtT;scale_10;0;GLIFT1;0.00646019;71.6172;nan
OTHER;;MULTI_AVERAGE;5;0.500000;0.040000;scale_sqrtT;scale_10;0;GLIFT1;0.00754905;81.2836;nan
OTHER;;MULTI_AVERAGE;10;0.000000;0.040000;scale_sqrtT;scale_10;0;AFF;0.0143449;88.2832;nan
OTHER;;MULTI_AVERAGE;5;0.000000;0.040000;scale_sqrtT;scale_10;0;GLIFT3;0.011771;62.6462;nan
OTHER;;MULTI_AVERAGE;10;0.250000;0.040000;scale_sqrtT;scale_10;0;AFF;0.02456;111.499;nan
OTHER;;MULTI_AVERAGE;10;0.500000;0.040000;scale_sqrtT;scale_10;0;AFF;0.02513;137.892;nan
OTHER;;MULTI_AVERAGE;5;0.250000;0.040000;scale_sqrtT;scale_10;0;GLIFT3;0.0181479;71.6172;nan
OTHER;;MULTI_AVERAGE;5;0.500000;0.040000;scale_sqrtT;scale_10;0;GLIFT3;0.0182481;81.2836;nan
OTHER;;MULTI_AVERAGE;5;0.000000;0.040000;scale_sqrtT;scale_10;0;GLIFT3';0.010905;62.6462;nan
OTHER;;MULTI_AVERAGE;5;0.250000;0.040000;scale_sqrtT;scale_10;0;GLIFT3';0.0143681;71.6172;nan
OTHER;;MULTI_AVERAGE;5;0.500000;0.040000;scale_sqrtT;scale_10;0;GLIFT3';0.0172729;81.2836;nan
OTHER;;MULTI_AVERAGE;15;0.000000;0.040000;scale_sqrtT;scale_10;0;AFF;0.037781;110.387;nan
OTHER;;MULTI_AVERAGE;10;0.000000;0.040000;scale_sqrtT;scale_10;0;GLIFT1;0.0325301;88.2833;nan
OTHER;;MULTI_AVERAGE;15;0.250000;0.040000;scale_sqrtT;scale_10;0;AFF;0.0640969;147.41;nan
OTHER;;MULTI_AVERAGE;10;0.500000;0.040000;scale_sqrtT;scale_10;0;GLIFT1;0.043613;137.892;nan
OTHER;;MULTI_AVERAGE;5;0.000000;0.040000;scale_sqrtT;scale_10;0;GLIFTF;0.032671;62.6462;nan
OTHER;;MULTI_AVERAGE;10;0.250000;0.040000;scale_sqrtT;scale_10;0;GLIFT1;0.0564351;111.499;nan
OTHER;;MULTI_AVERAGE;15;0.500000;0.040000;scale_sqrtT;scale_10;0;AFF;0.079994;189.935;nan
OTHER;;MULTI_AVERAGE;5;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFT1;0.00728106;51.5851;nan
OTHER;;MULTI_AVERAGE;5;0.250000;0.040000;scale_sqrtT;scale_10;0;GLIFTF;0.0472372;71.6172;nan
OTHER;;MULTI_AVERAGE;20;0.000000;0.040000;scale_sqrtT;scale_10;0;AFF;0.07078;130.773;nan
OTHER;;MULTI_AVERAGE;5;0.500000;0.040000;scale_sqrtT;scale_10;0;GLIFTF;0.0502999;81.2836;nan
OTHER;;MULTI_AVERAGE;5;0.250000;0.040000;scale_sqrtT;scale_10;0;LIFT1;0.00792909;65.8123;nan
OTHER;;MULTI_AVERAGE;5;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFT3;0.0161729;51.5849;nan
OTHER;;MULTI_AVERAGE;5;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFT1;0.00911903;77.711;nan
OTHER;;MULTI_AVERAGE;10;0.000000;0.040000;scale_sqrtT;scale_10;0;GLIFT3;0.063283;88.2833;nan
OTHER;;MULTI_AVERAGE;5;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFT3';0.0182681;46.0641;nan
OTHER;;MULTI_AVERAGE;5;0.250000;0.040000;scale_sqrtT;scale_10;0;LIFT3;0.0200131;65.7633;nan
OTHER;;MULTI_AVERAGE;5;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFT3;0.0177751;77.7055;nan
OTHER;;MULTI_AVERAGE;15;0.000000;0.040000;scale_sqrtT;scale_10;0;GLIFT1;0.0883601;110.387;nan
OTHER;;MULTI_AVERAGE;5;0.250000;0.040000;scale_sqrtT;scale_10;0;LIFT3';0.0190699;60.6088;nan
OTHER;;MULTI_AVERAGE;5;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFT3';0.0192032;77.5759;nan
OTHER;;MULTI_AVERAGE;20;0.250000;0.040000;scale_sqrtT;scale_10;0;AFF;0.149264;181.637;nan
OTHER;;MULTI_AVERAGE;10;0.250000;0.040000;scale_sqrtT;scale_10;0;GLIFT3;0.09619;111.499;nan
OTHER;;MULTI_AVERAGE;20;0.500000;0.040000;scale_sqrtT;scale_10;0;AFF;0.167894;240.272;nan
OTHER;;MULTI_AVERAGE;10;0.500000;0.040000;scale_sqrtT;scale_10;0;GLIFT3;0.118162;137.892;nan
OTHER;;MULTI_AVERAGE;5;0.000000;0.040000;scale_sqrtT;scale_10;0;LIFTF;0.0624421;45.7901;nan
OTHER;;STOCHASTIC;5;0.000000;0.040000;scale_sqrtT;scale_10;0;AFF;0.00360918;47.6943;nan
OTHER;;MULTI_AVERAGE;10;0.000000;0.040000;scale_sqrtT;scale_10;0;GLIFT3';0.0584891;88.2833;nan
OTHER;;MULTI_AVERAGE;5;0.250000;0.040000;scale_sqrtT;scale_10;0;LIFTF;0.069526;60.2345;nan
OTHER;;MULTI_AVERAGE;5;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFTF;0.061033;76.8741;nan
OTHER;;MULTI_AVERAGE;15;0.250000;0.040000;scale_sqrtT;scale_10;0;GLIFT1;0.161764;147.41;nan
OTHER;;MULTI_AVERAGE;5;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFT1 CG;0.028137;77.711;nan
OTHER;;MULTI_AVERAGE;15;0.500000;0.040000;scale_sqrtT;scale_10;0;GLIFT1;0.173121;189.935;nan
OTHER;;MULTI_AVERAGE;10;0.250000;0.040000;scale_sqrtT;scale_10;0;GLIFT3';0.0888948;111.499;nan
OTHER;;STOCHASTIC;5;0.250000;0.040000;scale_sqrtT;scale_10;0;AFF;0.00432801;54.8509;nan
OTHER;;MULTI_AVERAGE;10;0.500000;0.040000;scale_sqrtT;scale_10;0;GLIFT3';0.099792;137.892;nan
OTHER;;MULTI_AVERAGE;5;0.500000;0.040000;scale_sqrtT;scale_10;0;LIFT3 CG;0.070627;77.7055;nan
